ticker,pattern_type,breakout_type,confirmed,breakout_date,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
ENR.DE,triangle_sym,pending,pending,,191.6659650218594,192.62429484696867,187.8326457214222,242.28761014479477,35.89,29,68.5,active,2025-10-06,2026-04-20
KNIN.SW,ihs,type1,time,2026-06-01,188.88669818605283,189.83113167698306,185.10896422233176,235.37001045789663,24.61,28,67.1,active,2025-08-04,2026-02-09
CPG.L,triangle_sym,type1,time,2026-06-01,31.531828335461753,31.68948747713906,30.90119176875252,42.71699033486394,54.97,21,66.2,active,2025-12-22,2026-05-11
DHL.DE,ihs,type1,time,2026-05-18,48.27765477653131,48.519043050413956,47.31210168100068,55.65703780079465,15.29,16,58.9,active,2026-01-19,2026-05-04
NHY.OL,triangle_sym,type1,time,2026-05-18,107.3887835806529,107.92572749855616,105.24100790903984,131.61879596706137,29.14,10,57.2,active,2026-02-09,2026-04-13
SRT.DE,ihs,pending,pending,,198.33969656019354,199.3313950429945,194.37290262898966,239.16274488590176,20.58,26,56.7,active,2025-11-17,2026-05-11
NESN.SW,ihs,pending,pending,,85.45880713333577,85.88610116900244,83.74963099066905,103.3797961707496,20.97,30,56.7,active,2024-09-16,2025-04-07
COLR.BR,ihs,pending,pending,,36.476922255295975,36.65930686657245,35.74738381019005,43.1538452735314,18.3,30,56.7,active,2025-09-22,2026-04-13
VER.VI,ihs,pending,pending,,65.708270008205,66.03681135824603,64.3941046080409,76.01266966029792,15.68,30,56.7,active,2024-12-16,2025-07-07
RACE.MI,rectangle,pending,pending,,323.41746620219544,325.0345535332064,316.94911687815153,377.3039023110922,19.99,15,56.4,active,2026-01-05,2026-04-13
EXPN.L,triangle_sym,pending,pending,,2805.7360857134054,2819.764766141972,2749.6213639991374,3071.329314283954,10.46,16,56.3,active,2026-01-05,2026-04-20
SGRO.L,ihs,type1,time,2026-05-25,676.4470445597024,679.8292797825007,662.9181036685083,720.8930457161937,6.57,24,55.6,active,2025-12-08,2026-05-18
