ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
DWS.DE,ihs,type1,full,2026-07-27,72.69999694824219,70.75000381469727,71.10375383377074,69.33500373840332,91.30000686645508,29.05,24,95.5,active,2025-10-13,2026-03-23
FLS.CO,ihs,type1,full,2026-08-17,559.0,531.25,533.90625,520.625,625.5,17.74,18,86.8,active,2026-03-16,2026-07-13
ALO.PA,triangle_sym,type1,time,2026-08-31,15.579999923706055,15.451885793492877,15.52914522246034,15.14284807762302,15.821043981339448,2.45,29,74.6,active,2026-02-09,2026-08-24
AIXA.DE,triangle_sym,pending,pending,,33.650001525878906,59.424933853956446,59.722058523226224,58.236435176877315,94.18199433223899,140.9,49,71.5,active,2025-07-14,2026-06-15
VIV.PA,triangle_sym,pending,pending,,1.531999945640564,4.237113447796016,4.2582990150349955,4.152371178840096,9.057711286292548,-826.17,39,68.5,active,2024-05-20,2025-02-10
SCMN.SW,triangle_sym,type1,time,2026-09-07,664.5,647.5,650.7375,634.55,681.5,5.54,12,61.8,active,2026-05-18,2026-08-03
BP.L,ihs,type1,time,2026-09-07,567.7999877929688,559.3226290727762,562.11924221814,548.1361764913206,668.0996505361727,19.45,17,61.0,active,2026-05-04,2026-08-24
HEIA.AS,rectangle,pending,pending,,71.66000366210938,80.34000015258789,80.74170015335082,78.73320014953613,96.43000030517578,25.04,26,60.2,active,2026-02-09,2026-08-03
NOKIA.HE,triangle_sym,pending,pending,,8.645999908447266,14.922049548577789,14.996659796320676,14.623608557606232,24.684101245832156,189.19,32,59.5,active,2025-10-27,2026-06-01
TEF.MC,ihs,type2,time,2026-08-31,3.6449999809265137,3.631600046157837,3.6497580463886257,3.55896804523468,3.8212001800537108,5.22,25,59.1,active,2026-03-09,2026-08-24
QIA.DE,ihs,pending,pending,,36.400001525878906,38.63083140055339,38.823985557556156,37.85821477254232,49.7016633351644,28.66,37,56.7,active,2025-12-15,2026-08-24
VER.VI,ihs,pending,pending,,59.349998474121094,65.708270008205,66.03681135824603,64.3941046080409,76.01266966029792,15.68,30,56.7,active,2024-12-16,2025-07-07
DGE.L,ihs,type2,time,2026-07-27,1611.5,1593.3349098395515,1601.301584388749,1561.4682116427605,1836.8533559842501,15.28,20,56.4,active,2026-01-19,2026-06-01
MKS.L,rectangle,pending,pending,,379.10400390625,411.0428007038515,413.09801470737074,402.8219446897745,506.2056117836796,30.13,18,55.3,active,2025-10-27,2026-02-23
HO.PA,rectangle,pending,pending,,237.60000610351562,271.32071805278804,272.6773216430519,265.89430369173226,330.5334883330172,27.92,18,55.3,active,2026-04-13,2026-08-10
SRT.DE,rectangle,pending,pending,,186.39999389648438,199.8000030517578,200.79900306701657,195.80400299072267,235.30001068115234,21.61,13,55.2,active,2026-04-20,2026-07-13
SAN.PA,rectangle,pending,pending,,74.33999633789062,79.36000061035156,79.75680061340331,77.77280059814453,87.06000137329102,10.75,13,55.2,active,2026-06-01,2026-08-24
HEXA-B.ST,triangle_sym,pending,pending,,93.5199966430664,102.49999999999997,103.01249999999996,100.44999999999997,118.55896759033197,18.58,19,55.2,active,2026-04-20,2026-08-24
MKS.L,triangle_asc,pending,pending,,379.10400390625,410.29998779296875,412.35148773193356,402.09398803710934,502.10997772216797,28.83,18,54.9,active,2025-10-27,2026-02-23
NIBE-B.ST,ihs,pending,pending,,42.470001220703125,51.039241288892605,51.294437495337064,50.01845646311475,70.42800966963107,37.99,23,54.9,active,2026-02-02,2026-07-06
VER.VI,ihs,type2,time,2026-08-24,59.349998474121094,59.209089105779476,59.505134551308366,58.02490732366389,64.16817821155895,8.38,18,54.3,active,2026-04-13,2026-08-10
TSCO.L,ihs,pending,pending,,483.79998779296875,519.6780348994135,522.2764250739106,509.28447420142527,610.8560697988271,17.55,22,54.2,active,2026-03-23,2026-08-17
SBRY.L,ihs,pending,pending,,337.29998779296875,384.9599853515625,386.8847852783203,377.26078564453127,476.2199584960938,23.71,22,54.2,active,2026-03-23,2026-08-17
WKL.AS,rectangle,pending,pending,,67.80000305175781,72.05433341018113,72.41460507723203,70.6132467419775,89.9392270525256,33.02,16,54.0,active,2026-04-13,2026-07-27
LSEG.L,triangle_sym,pending,pending,,8314.0,9171.565740646298,9217.423569349528,8988.134425833372,10513.622850364514,17.14,11,53.3,active,2026-06-15,2026-08-24
TSCO.L,ihs,pending,pending,,483.79998779296875,524.5232479801555,527.1458642200562,514.0327830205523,637.4328998593146,21.53,19,52.4,active,2025-11-17,2026-03-23
PHIA.AS,ihs,pending,pending,,21.6299991607666,25.240410106099148,25.366612156629643,24.735601903977166,29.83628063402292,18.21,19,52.4,active,2026-03-23,2026-07-27
VER.VI,ihs,pending,pending,,59.349998474121094,66.93906264077641,67.2737579539803,65.60028138796088,79.63407478405672,18.97,19,52.4,active,2025-12-08,2026-04-13
SREN.SW,ihs,pending,pending,,139.4499969482422,148.79827713957366,149.5422685252715,145.82231159678219,189.08639720923264,27.08,18,51.8,active,2025-02-17,2025-06-16
STERV.HE,ihs,pending,pending,,10.279999732971191,10.285000801086426,10.336425805091856,10.079300785064698,11.838001251220703,15.1,17,51.2,active,2026-04-27,2026-08-17
WTB.L,ihs,pending,pending,,2330.0,2586.3934033489786,2599.3253703657233,2534.665535281999,3075.3108373235696,18.9,16,50.5,active,2026-03-30,2026-07-13
LR.PA,ihs,pending,pending,,134.5,173.00715419224332,173.8721899632045,169.54701110839844,224.06431143624445,29.51,16,50.5,active,2025-12-08,2026-03-23
CA.PA,rectangle,pending,pending,,16.75,16.95464843734029,17.03942167952699,16.615555468593485,18.880539564670336,12.81,9,49.7,active,2026-05-25,2026-07-20
NIBE-B.ST,ihs,pending,pending,,42.470001220703125,47.414125509691374,47.65119613723983,46.465842999497546,65.24441143564398,37.61,14,49.3,active,2025-03-03,2025-06-02
CPG.L,rectangle,pending,pending,,31.43000030517578,34.13999938964844,34.310699386596674,33.45719940185547,38.894999504089355,16.18,7,48.5,active,2026-06-15,2026-07-27
SRT.DE,ihs,pending,pending,,186.39999389648438,204.66666666666666,205.68999999999997,200.57333333333332,245.13333638509113,19.77,12,48.1,active,2026-05-11,2026-07-27
CPG.L,triangle_sym,pending,pending,,31.43000030517578,33.59000015258789,33.757950153350826,32.91820014953613,37.34000129699707,12.57,7,47.8,active,2026-06-15,2026-07-27
STERV.HE,ihs,type1,none,2026-09-14,10.279999732971191,10.205553039956238,10.256580805156018,10.001441979157113,11.266023808398174,10.39,13,34.5,active,2026-02-02,2026-04-27
FNTN.DE,ihs,type2,none,2026-09-07,25.100000381469727,25.164000701904296,25.289820705413813,24.66072068786621,28.048000717163085,11.46,14,33.5,active,2026-05-11,2026-08-10
