ticker,pattern_type,breakout_type,confirmed,breakout_date,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
AMT,ihs,type1,time,2026-05-18,182.01967708984026,182.92977547528943,178.37928354804345,200.59244577380372,10.2,15,62.4,active,2026-02-02,2026-05-11
AIG,triangle_sym,pending,pending,,79.12696308933181,79.52259790477846,77.54442382754517,85.04241925953315,8.08,19,61.2,active,2025-12-22,2026-04-27
BDX,ihs,pending,pending,,205.81839065776035,206.84748261104912,201.70202284460512,285.54626244779325,38.74,35,56.7,active,2025-09-22,2026-05-18
BA,ihs,pending,pending,,258.3861612173227,259.6780920234093,253.21843799297625,340.00231816218445,31.59,43,56.7,active,2025-06-09,2026-03-30
SO,ihs,pending,pending,,98.31087404593976,98.80242841616945,96.34465656502095,114.15763477517434,16.12,27,56.7,active,2025-09-15,2026-03-16
EMR,ihs,pending,pending,,146.37048472191304,147.1023371455226,143.44307502747478,170.5946224625227,16.55,27,56.7,active,2025-11-17,2026-05-18
VLO,triangle_sym,pending,pending,,257.20796301138114,258.494002826438,252.0638037511535,321.0514016506661,33.02,20,55.8,active,2025-11-17,2026-03-30
AIG,ihs,pending,pending,,86.74037174260991,87.17407360132295,85.00556430775771,106.08858902354865,22.31,23,54.9,active,2024-11-04,2025-04-07
AMT,ihs,pending,pending,,225.04480920592098,226.17003325195057,220.54391302180255,285.07736583706884,26.68,22,54.2,active,2024-11-11,2025-04-07
D,rectangle,pending,pending,,67.91375284514888,68.25332160937461,66.5554777882459,76.06250630064932,13.63,14,52.8,active,2026-02-16,2026-05-18
ABNB,ihs,pending,pending,,147.07498931884766,147.81036426544188,144.1334895324707,183.33998107910156,24.66,19,52.4,active,2025-10-06,2026-02-09
KO,rectangle,pending,pending,,82.05001127519023,82.46026133156617,80.40901104968643,89.79002117708944,10.42,13,52.2,active,2026-02-23,2026-05-18
JPM,ihs,pending,pending,,318.4407624267084,320.0329662388419,312.0719471781742,359.2025972926798,12.8,18,51.8,active,2026-01-19,2026-05-18
PG,ihs,pending,pending,,177.8189579753468,178.7080527652235,174.26257881583984,220.00942786705167,23.73,18,51.8,active,2025-12-08,2026-04-06
TFC,ihs,pending,pending,,50.98324661664917,51.23816284973241,49.96358168431618,59.28739025767608,16.29,17,51.2,active,2026-01-19,2026-05-11
AIG,ihs,pending,pending,,80.01403955708305,80.41410975486846,78.4137587659414,89.1958845987851,11.48,17,51.2,active,2025-11-24,2026-03-16
BAC,ihs,pending,pending,,54.939877359914185,55.21457674671375,53.8410798127159,63.759755787943604,16.05,16,50.5,active,2026-01-26,2026-05-11
AFL,ihs,pending,pending,,129.14405115319374,129.7897714089597,126.56117013012987,153.0748259026551,18.53,16,50.5,active,2025-12-08,2026-03-23
TRV,ihs,pending,pending,,316.8806704807572,318.46507383316094,310.5430570711421,366.7336745991225,15.73,16,50.5,active,2025-12-08,2026-03-23
HIG,ihs,pending,pending,,147.16945257844114,147.90529984133332,144.2260635268723,167.8623626400998,14.06,15,49.9,active,2025-12-08,2026-03-16
AIG,rectangle,pending,pending,,80.45569254278163,80.85797100549553,78.846578691926,88.08571105891652,10.48,9,49.7,active,2026-03-02,2026-04-27
MDLZ,ihs,pending,pending,,66.2484767603351,66.57971914413676,64.92350722512839,81.73643602340897,23.38,14,49.3,active,2025-12-08,2026-03-09
MDLZ,rectangle,type1,none,2026-06-08,62.77831679934188,63.09220838333858,61.52275046335504,74.07965676999538,21.95,21,41.6,active,2025-09-22,2026-02-09
MOH,triangle_sym,type1,none,2026-06-08,200.5500030517578,201.55275306701657,196.53900299072265,262.6571524483817,44.86,15,38.0,active,2026-01-26,2026-05-04
KMB,ihs,type1,none,2026-06-08,97.98133934543617,98.47124604216334,96.02171255852744,104.7949006948733,6.95,18,37.3,active,2026-01-05,2026-05-04
TJX,ihs,type1,none,2026-06-08,163.70790147529084,164.52644098266728,160.433743445785,182.47167331392097,11.46,12,35.5,active,2025-12-29,2026-03-16
