ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
AVY,ihs,type1,full,2026-07-27,170.6999969482422,166.98014779598824,167.81504853496816,163.6405448400685,183.12910122513293,9.67,19,82.5,active,2026-03-16,2026-07-20
CTAS,ihs,type1,full,2026-07-13,200.5,185.42403011735553,186.35115026794227,181.7155495150084,210.12507359847112,13.32,15,75.7,active,2026-03-23,2026-06-29
RVTY,rectangle,type1,time,2026-08-17,127.08000183105469,117.1103184319298,117.69587002408943,114.7681120632912,151.9548546940212,42.36,23,71.6,active,2026-01-19,2026-06-22
AMAT,triangle_sym,pending,pending,,472.7900085449219,658.0679012035766,661.3582407095945,644.9065431795051,902.5485876330467,59.11,51,71.5,active,2025-07-14,2026-06-29
COHR,triangle_sym,pending,pending,,301.8800048828125,434.68070412383867,436.8541076444578,425.9870900413619,625.7581406969517,78.44,52,71.5,active,2025-08-11,2026-08-03
LRCX,triangle_sym,pending,pending,,320.4200134277344,404.7882432660443,406.81218448237445,396.69247840072336,544.4947537893424,52.7,41,71.5,active,2025-11-10,2026-08-17
TSCO,triangle_sym,type1,time,2026-08-17,35.290000915527344,32.679958270694726,32.843358062048196,32.02635910528083,36.062317651785555,11.54,29,71.0,active,2026-01-26,2026-08-10
WAT,triangle_sym,type1,time,2026-08-03,402.9100036621094,385.2900085449219,387.21645858764646,377.58420837402343,480.8642926897321,32.99,21,70.6,active,2026-01-05,2026-05-25
ARES,triangle_sym,pending,pending,,138.6199951171875,143.3192198467922,144.03581594602616,140.45283544985637,176.23415332586825,29.81,36,68.5,active,2025-12-08,2026-08-10
ON,triangle_sym,pending,pending,,71.08000183105469,126.31081719561399,126.94237128159205,123.78460085170171,186.1943945604138,90.15,33,68.5,active,2025-10-20,2026-06-01
STX,triangle_sym,pending,pending,,904.3800048828125,1048.4307964510876,1053.672950433343,1027.4621805220659,1662.137110388941,141.17,38,68.5,active,2025-09-29,2026-06-15
AIG,rectangle,pending,pending,,74.68000030517578,81.0906946790121,81.49614815240716,79.46888078543186,89.5100446616643,11.59,23,67.4,active,2026-03-02,2026-08-03
BLK,ihs,type1,time,2026-08-03,1095.3699951171875,1084.8483079001855,1090.2725494396864,1063.1513417421818,1252.3066011519336,15.44,33,67.0,active,2025-11-17,2026-06-29
KKR,triangle_sym,type2,time,2026-07-13,105.7300033569336,98.06270189022328,98.5530153996744,96.10144785241881,107.98703550120356,11.26,28,65.9,active,2025-12-08,2026-06-15
AKAM,triangle_sym,pending,pending,,105.61000061035156,152.7431087964202,153.50682434040226,149.68824662049178,215.7651643187861,70.24,27,65.5,active,2025-11-10,2026-05-11
EMR,triangle_sym,type2,time,2026-07-27,152.14999389648438,149.22371387072673,149.96983244008035,146.2392395933122,166.8981897720643,13.44,19,65.5,active,2026-02-09,2026-06-15
SYF,triangle_sym,type2,time,2026-08-03,78.62000274658203,78.16021955004527,78.55102064779548,76.59701515904436,85.55853943361826,10.46,25,65.3,active,2026-01-05,2026-06-22
BX,triangle_sym,type2,time,2026-07-13,133.97000122070312,124.96218600814737,125.5869969381881,122.46294228798442,143.11628132835764,17.0,23,62.5,active,2026-01-12,2026-06-15
CSCO,triangle_sym,pending,pending,,109.16999816894531,127.49475974903999,128.13223354778518,124.94486455405918,176.61422060455476,62.67,26,62.5,active,2025-12-08,2026-06-01
TXN,triangle_sym,pending,pending,,258.9200134277344,326.8322919501677,328.46645340991853,320.29564611116433,458.31650158615196,67.31,26,62.5,active,2025-12-01,2026-05-25
MPWR,triangle_sym,pending,pending,,1218.5,1689.278691884917,1697.7250853443413,1655.4931180472186,2304.5098468908855,57.28,25,61.9,active,2025-12-08,2026-05-25
DHI,rectangle,pending,pending,,138.49000549316406,168.1585108830309,168.99930343744606,164.7953406653703,204.11473093464377,27.2,19,58.9,active,2026-02-16,2026-06-22
GEHC,rectangle,pending,pending,,66.7750015258789,75.79999923706055,76.17899923324585,74.28399925231933,91.66385735425058,26.47,19,58.9,active,2026-04-13,2026-08-17
DVN,ihs,type1,time,2026-08-10,48.400001525878906,45.23307015707758,45.459235507862964,44.328408753936024,50.466140314155155,11.57,17,58.6,active,2026-04-13,2026-08-03
GEHC,triangle_asc,pending,pending,,66.7750015258789,75.6500015258789,76.0282515335083,74.13700149536133,90.47305275889204,24.37,19,58.5,active,2026-04-13,2026-08-17
ZBH,ihs,type2,time,2026-07-27,94.22000122070312,92.91891747085349,93.38351205820774,91.06053912143642,106.92751878103155,15.08,15,57.8,active,2026-03-23,2026-06-29
CBOE,ihs,type2,time,2026-08-24,293.3299865722656,291.90378283108817,293.3633017452436,286.0657071744664,357.2868144032362,22.4,22,57.0,active,2026-03-23,2026-08-17
HUBB,triangle_sym,pending,pending,,464.75,528.8250086647345,531.469133708058,518.2485084914398,603.3979286946342,16.42,17,57.0,active,2026-04-20,2026-08-10
IRM,triangle_sym,pending,pending,,116.08000183105469,134.2009572857176,134.87196207214618,131.51693814000325,165.6230992999045,30.57,17,57.0,active,2026-01-12,2026-05-04
